photo_lon,photo_lat,detected_age,sentiment,sentiment_score,z_height
12.339781,45.43429,27,Positive,0.8010662794113159,0.8010662794113159
12.339137,45.434079,36,Positive,0.6604585647583008,0.6604585647583008
12.338148,45.433721,28,Negative,0.6776186227798462,-0.6776186227798462
12.332936,45.433893,26,Positive,0.9762450456619264,0.9762450456619264
12.334137,45.439936,37,Positive,0.7002716660499573,0.7002716660499573
12.340306,45.433816,26,Negative,0.5658629536628723,-0.5658629536628723
12.331466,45.435567,29,Negative,0.9331225156784058,-0.9331225156784058
12.338976,45.436729,24,Negative,0.862164318561554,-0.862164318561554
12.339556,45.433683,26,Positive,0.7912945747375488,0.7912945747375488
12.33976,45.433296,36,Positive,0.946877121925354,0.946877121925354
12.339266,45.434486,35,Positive,0.7675285339355469,0.7675285339355469
12.339845,45.433311,26,Negative,0.9950280785560608,-0.9950280785560608
12.335876,45.438084,29,Negative,0.8609620332717896,-0.8609620332717896
12.339416,45.433921,60,Positive,0.7839661836624146,0.7839661836624146
12.337575,45.438361,29,Negative,0.9496697783470154,-0.9496697783470154
12.340457,45.433364,25,Positive,0.7830496430397034,0.7830496430397034
12.339749,45.433221,30,Negative,0.952267289161682,-0.952267289161682
12.338118,45.434215,36,Negative,0.9970906972885132,-0.9970906972885132
12.336015,45.43786,48,Negative,0.9988003969192504,-0.9988003969192504
12.340382,45.435276,26,Negative,0.5430152416229248,-0.5430152416229248
12.347785,45.437771,31,Negative,0.9778679609298706,-0.9778679609298706
12.339813,45.433545,38,Negative,0.996654748916626,-0.996654748916626
12.340483,45.436963,29,Negative,0.8314477205276489,-0.8314477205276489
12.335876,45.436511,34,Negative,0.6084145903587341,-0.6084145903587341
12.341402,45.439211,29,Positive,0.9603770971298218,0.9603770971298218
12.346252,45.433719,26,Negative,0.6014668941497803,-0.6014668941497803
12.341402,45.439211,29,Positive,0.9603770971298218,0.9603770971298218
12.344977,45.437219,32,Negative,0.5326464176177979,-0.5326464176177979
12.346308,45.433772,35,Negative,0.7913402915000916,-0.7913402915000916
12.346252,45.433719,26,Negative,0.6014668941497803,-0.6014668941497803
12.336852,45.437677,34,Positive,0.6636732220649719,0.6636732220649719
12.330419,45.433158,23,Negative,0.94512540102005,-0.94512540102005
12.3304,45.433119,26,Positive,0.7355551719665527,0.7355551719665527
12.346308,45.433772,35,Negative,0.7913402915000916,-0.7913402915000916
12.346252,45.433719,26,Negative,0.6014668941497803,-0.6014668941497803
12.346252,45.433719,30,Negative,0.5752688050270081,-0.5752688050270081
