position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
15,Centro Commerciale La Piazza,3.4,1157.0,Centro commerciale,"Via Triestina, 52, 30173 Venezia VE, Italia",Aperto ⋅ Chiude alle ore 21,ChIJVTKh0ZyzfkcRYRytzPNRY5o,"{'latitude': 45.505041, 'longitude': 12.2865266}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzmm604HLzZN4KwPdEJfXjlhNe6Zx8rzguSBUJJCpR1cmv8xtc0UdNBGdXOK7O_APWvB6tg_cSXkLu8fhKFocejadCNCyVFpi8m30viDiWQk8kTB0o0YB9D4ddt0SlAUw0NGnb8=w163-h92-k-no,
16,Campo San Pantalon,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJs2uGS8-xfkcRDXx3-MYEXhs,"{'latitude': 45.4354219, 'longitude': 12.3244758}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzBOpK0jCc4YKBnnxLJtvgUglJTlhWjpEQbVnEk44nookqeaVaiCxfV6ovgs9sBUnVDDrD3XpXJn-wVu3Q8OLvOgzRtlHwhxrlnhhq8dQsTeaLV4QmNBWMBAW0DPD7xxHmmUL_j=w122-h92-k-no,
17,Campo de Pozzi,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJ68n-hyaufkcRvQiAYG1gcvU,"{'latitude': 45.436144, 'longitude': 12.3485952}",,,
18,Campo Santa Fosca,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJ_yL55sKxfkcR8CXx0sbuHfs,"{'latitude': 45.443108599999995, 'longitude': 12.3319943}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzEPQnN8G-JK3UZEX3BJEr8UgdzDh1RuD9t4RgIfv75NRL5kuoNqPdJPLyI1yeKFTkDyomEEZA90SWc4ZLBNPBikp4-_K5gCap2zIlQyKzWrOpXru9mIn7cAKWK5N1Aqk8gelvQ=w122-h92-k-no,
19,Campo di Sant'Agnese,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJFT06dtKxfkcRMLmMV3kHhgk,"{'latitude': 45.4296484, 'longitude': 12.327801599999999}",,,
20,Piazza Erminio Ferretto,4.3,7777.0,Punto di riferimento storico,"30100 Venezia VE, Italia",Aperto 24 ore su 24,ChIJjTZAYkC0fkcRTZwiKyRz05M,"{'latitude': 45.4941769, 'longitude': 12.2417032}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylrKdLyoIhs02EPyv5WK3fG5AROMpuKxrXq_-xlMHqrrKwS3ljLoqNs4xOm4f4cbdUJcG2juGxZsbwY_CIVznIbo7AWQznwnnMlQiohPUcVMVSlTGaASOe785gIwbBUS10qZ9a=w122-h92-k-no,
1,Campo Santo Stefano,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJ39ALXQKufkcRoeix-r7m5fs,"{'latitude': 45.455242299999995, 'longitude': 12.3531251}",,,
2,Campo Nazario Sauro,4.3,10.0,Punto di riferimento storico,"Santa Croce, 1073, 30135 Venezia VE, Italia",Aperto 24 ore su 24,ChIJpWVS48OxfkcRBy-BnDz3s04,"{'latitude': 45.440076, 'longitude': 12.3257257}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSx4mTJ6Z7PT0RuSBxK0nPE7I_GhDNitu3HdOY36tIeOb7SVimg3Xe5oQi5zRePYg4jlakfeH6ZSbxi48CC8rK1VJ_jFvHyT7aCM3Pwz5y93cuJhEFwyrS3mT0BbrlLuU6IjOtdATw=w80-h106-k-no,
3,Corte Santa Scolastica,,,Piazza principale,"30100 Venezia VE, Italia",,ChIJna-z9texfkcRmgzejjdHwzg,"{'latitude': 45.4342407, 'longitude': 12.341187}",,,
4,Piazza Erminio Ferretto,4.3,7777.0,Punto di riferimento storico,"30100 Venezia VE, Italia",Aperto 24 ore su 24,ChIJjTZAYkC0fkcRTZwiKyRz05M,"{'latitude': 45.4941769, 'longitude': 12.2417032}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSylrKdLyoIhs02EPyv5WK3fG5AROMpuKxrXq_-xlMHqrrKwS3ljLoqNs4xOm4f4cbdUJcG2juGxZsbwY_CIVznIbo7AWQznwnnMlQiohPUcVMVSlTGaASOe785gIwbBUS10qZ9a=w122-h92-k-no,
