position,title,rating,reviews,type,address,open_state,place_id,gps,link,thumbnail,original
11,B&B Il Giardino di Giulia,4.9,36.0,Bed & Breakfast,"Lista Vechia dei Bari, 965, 30135 Venezia VE, Italia",,ChIJQ6oxbsSxfkcRFoqkBWQ7ais,"{'latitude': 45.4407127, 'longitude': 12.3249184}",,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEZ-aNoIGe7Ooz50UfND0BPmuJzM0FQPoSNEfGpNnTeHL6A3Weo7lGeQpmF4uJJmNtgpe7BCxzuBK4D9moix4tpe3tH6GD4YnuGXBKjbiQ2-hEq0yjFyk_638nRlAZU6IPts7yC2seM8kZkyw5j3c-PQQ6eQpjavffOZYyyOrOXpl8tDWA7LzId=w137-h92-k-no,
12,Area verde Baia del Re,4.9,9.0,Giardino,"Fondamenta Sacca San Girolamo, 30100 Venezia VE, Italia",,ChIJkaj3lLKxfkcRGpMJY_KwY8M,"{'latitude': 45.4477093, 'longitude': 12.3208009}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwcaVSyAFKlw975NpoGT3y8l54VrIvkOtxGZHqJ97vswtSNMq1evy3pQzbI8QtVbpI-6ohwXpe3oe36V1hNSNlm4WqogarwGzHhHXyPSpXLJe4ImhZZNonC8fEsQ_ULhTSg2H5-SA=w80-h142-k-no,
13,"Giardini Biennale ""B""",4.3,21.0,Terminal traghetti,"30100 Venezia VE, Italia",,ChIJqaHjczGufkcRjaIqhjSbo6g,"{'latitude': 45.429047, 'longitude': 12.355934}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSxJs2Xtur_Y5zljp79o4OD9uO6vamDLdduTq7vcnPkPkgYRkoHBZ2bmHw3TVcFyv_8yWi0antRF9qCC5WuX1yCdWpvJSOKsapoOXNOOkRsTGWaRZNw4sEsg_TTuADRqHjQy6tTY=w80-h106-k-no,
14,Fortuny gardens,,,Giardino,"Fondamenta S. Biagio, 800o, 30133 Venezia VE, Italia",,ChIJBao8WACxfkcRjNf8rxaRYJE,"{'latitude': 45.4270083, 'longitude': 12.320387799999999}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=uoO-y49ddCI3k0a2f1REkw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=336.57416&pitch=0&thumbfov=100,
15,木に目👀がある場所,,,Giardino,"Italia, Città Metropolitana di Venezia, Venezia, Calle Zambelli, Sotoportego",,ChIJp_R1EQCxfkcROIbAH-6xmHw,"{'latitude': 45.440207099999995, 'longitude': 12.3278278}",,,
16,Serra dei Giardini,4.1,279.0,Centro di quartiere,"Via Giuseppe Garibaldi, 1254, 30122 loc. Castello VE, Italia",Chiuso ⋅ Apre mar alle ore 10,ChIJ7-9VGjCufkcRHajS4Pyelb8,"{'latitude': 45.430831999999995, 'longitude': 12.3552936}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSzt7V0Igto0Jta1aiW4vHT2eS6PD_3DbtcSgo-SpN6UGmrYE4trfZMt0XNVgZhRy_bWvnImLUbXe7o6QFry42tzBSmAfZZmw_TCDubU7BYljPpeudSlwdh-jVLu3UnZrznwTwzC5g=w160-h92-k-no,
17,Albero de la Cason,,,Giardino pubblico,"Campiello de la Cason, 4510, 30121 Venezia VE, Italia",,ChIJRbhAcwCxfkcRWBfXUJEfRAY,"{'latitude': 45.4405625, 'longitude': 12.3377286}",,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xRUjOda42E-khBkJq9RpIg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=131.20587&pitch=0&thumbfov=100,
18,Il Giardino Bianco Art Space,4.5,11.0,Centro culturale,"Via Giuseppe Garibaldi, 1814, 30122 Venezia VE, Italia",Chiuso ⋅ Apre mar alle ore 11,ChIJNS7QDzCufkcRN9BwHsypBrY,"{'latitude': 45.432593999999995, 'longitude': 12.354896499999999}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSyEpOQlSrf4Q6ORb_cfpODF0lJeA9a5WdIWXlZo3wi2NhgNNBZ1soyeqxHjRCnjI8tXBiNLZwc0b9My2609iOdMAmMqW66UHpLCkWQa6h53UW6c1lVqnvvKoUnfBP0L4NW4SuRf=w138-h92-k-no,
19,Panchine per rilassarsi,4.7,3.0,Giardino,"Fondamenta Sacca San Girolamo, 2976, 30121 Venezia VE, Italia",Aperto 24 ore su 24,ChIJBw6KVgCxfkcRN-LEPmYVz6U,"{'latitude': 45.4477396, 'longitude': 12.3201058}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwMazYKVL-zTLxHoKoELf05JhFhJRvTuPBuT7-CwgtR1g2S3KolIIGA63GxqTdVtphBhal5uaqf3o5Npe5URWi9F3h0KGsloR01wguVw378TuRkXHvWPiDxOX6eoBiPGIed2_xBgnCS4h3U=w80-h106-k-no,
20,Palazzo Soranzo Cappello,4.4,135.0,Sito storico,"Ramo Quinto Gallion O del Pezzetto, 770, 30100 Venezia VE, Italia",,ChIJmYOzRyuwfkcRp-F2Z4Hjqi8,"{'latitude': 45.439688499999995, 'longitude': 12.3241888}",,https://lh3.googleusercontent.com/gps-cs-s/AG0ilSwlvcKmDwvftrMgt-7g3F1ZBA6vec0uzSouCP0tfztZfZNDQaHTd2YACdml_R4GpQwHVqaYFMo08EMOH1hJb67BwOGvyZ1a6iJBcC38FkevSES6Q5iPioXAykpo-DEZdvG_nkc=w80-h106-k-no,
